Rank,Name,Genre,ESRB_Rating,Publisher,Developer,VGChartz_Score,Critic_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,status,Vgchartzscore,img_url,serial,Platform,url
1345.0,Tom Clancy's Ghost Recon Wildlands,Shooter,M,Ubisoft,Ubisoft Paris,,7.7,,0.98,0.48,,0.15,2017.0,01st Apr 18,1.0,,/games/boxart/full_8562505AmericaFrontccc.jpg,1878693395,XOne,http://www.vgchartz.com/game/85752/tom-clancys-ghost-recon-wildlands/?region=All
15924.0,Tom Clancy's Ghost Recon Wildlands,Shooter,M,Ubisoft,Ubisoft Paris,,7.4,,,0.04,,0.0,2017.0,01st Apr 18,1.0,,/games/boxart/full_4819113AmericaFrontccc.jpg,7014118947,PC,http://www.vgchartz.com/game/85751/tom-clancys-ghost-recon-wildlands/?region=All
536.0,Titanfall,Shooter,M,Electronic Arts,Respawn Entertainment,,,,1.88,0.91,0.04,0.28,2014.0,12th Jan 18,1.0,,/games/boxart/full_8915130AmericaFrontccc.jpg,5608329386,XOne,http://www.vgchartz.com/game/72891/titanfall/?region=All
1651.0,Titanfall,Shooter,M,Electronic Arts,Respawn Entertainment,,,,0.88,0.35,0.02,0.13,2014.0,12th Jan 18,1.0,,/games/boxart/full_340532AmericaFrontccc.png,6117200822,X360,http://www.vgchartz.com/game/72892/titanfall/?region=All
3907.0,Titanfall,Shooter,M,Electronic Arts,Respawn Entertainment,,,,0.24,0.31,,0.05,2014.0,12th Jan 18,1.0,,/games/boxart/full_4144694AmericaFrontccc.jpg,7216423823,PC,http://www.vgchartz.com/game/72893/titanfall/?region=All
548.0,Borderlands 2,Shooter,,2K Games,Gearbox Software,,,,1.89,0.88,0.04,0.26,2013.0,,1.0,,/games/boxart/full_3497502PALFrontccc.jpg,7171948672,X360,http://www.vgchartz.com/game/55597/borderlands-2/?region=All
3454.0,Borderlands 2,Shooter,M,2K Games,Gearbox Software,,,,0.33,0.18,0.01,0.16,2014.0,06th Apr 18,1.0,,/games/boxart/full_1960248AmericaFrontccc.jpg,1497769918,PSV,http://www.vgchartz.com/game/78754/borderlands-2/?region=All
551.0,New Super Luigi U,Action,E,Nintendo,Nintendo,,7.8,3.04,,,,,2013.0,24th Jan 18,1.0,,/games/boxart/full_7899849AmericaFrontccc.png,6854853345,WiiU,http://www.vgchartz.com/game/72208/new-super-luigi-u/?region=All
553.0,Metal Gear Solid V: The Phantom Pain,Action,M,Konami Digital Entertainment,Kojima Productions,,,,0.97,1.15,0.5,0.42,2015.0,04th May 18,1.0,,/games/boxart/full_3992261AmericaFrontccc.png,3319896532,PS4,http://www.vgchartz.com/game/73202/metal-gear-solid-v-the-phantom-pain/?region=All
1193.0,Metal Gear Solid V: The Phantom Pain,Action,M,Konami Digital Entertainment,Kojima Productions,,,1.75,,,,,2015.0,04th May 18,1.0,,/games/boxart/full_8487538PALFrontccc.jpg,6441124512,PC,http://www.vgchartz.com/game/85445/metal-gear-solid-v-the-phantom-pain/?region=All
2879.0,Metal Gear Solid V: The Phantom Pain,Action,M,Konami Digital Entertainment,Kojima Productions,,,,0.49,0.25,0.02,0.07,2015.0,04th May 18,1.0,,/games/boxart/full_7873178AmericaFrontccc.jpg,3745879222,XOne,http://www.vgchartz.com/game/73075/metal-gear-solid-v-the-phantom-pain/?region=All
10110.0,Metal Gear Solid V: The Phantom Pain,Action-Adventure,M,Konami Digital Entertainment,Kojima Productions,,,,0.1,0.05,,0.01,2015.0,12th Sep 18,1.0,,/games/boxart/full_5695509AmericaFrontccc.jpg,5685743674,X360,http://www.vgchartz.com/game/73156/metal-gear-solid-v-the-phantom-pain/?region=All
37673.0,Metal Gear Solid V: The Phantom Pain,Action-Adventure,M,Konami Digital Entertainment,Kojima Productions,,,,,,,,2015.0,12th Sep 18,1.0,,/games/boxart/full_8851101AmericaFrontccc.jpg,6711841773,PS3,http://www.vgchartz.com/game/70809/metal-gear-solid-v-the-phantom-pain/?region=All
567.0,The Legend of Zelda: Majora's Mask 3D,Action-Adventure,E10,Nintendo,GREZZO,,9.0,3.0,,,,,2015.0,31st Jan 18,1.0,,/games/boxart/full_8193629AmericaFrontccc.jpg,8673179268,3DS,http://www.vgchartz.com/game/85055/the-legend-of-zelda-majoras-mask-3d/?region=All
583.0,Yokai Watch 2: Psychic Specters,Role-Playing,E10,Nintendo,Level 5,,,,0.12,0.12,2.69,0.02,2017.0,09th Sep 18,1.0,,/games/boxart/full_2003259AmericaFrontccc.jpg,9433130184,3DS,http://www.vgchartz.com/game/85012/yokai-watch-2-psychic-specters/?region=All
592.0,Doom (2016),Shooter,,Bethesda Softworks,id Software,,,,0.93,1.48,0.04,0.46,2016.0,,1.0,,/games/boxart/full_9328258AmericaFrontccc.jpg,1726332680,PS4,http://www.vgchartz.com/game/83086/doom-2016/?region=All
1559.0,Doom (2016),Shooter,,Bethesda Softworks,id Software,,,,0.76,0.57,,0.13,2016.0,,1.0,,/games/boxart/full_2011970AmericaFrontccc.jpg,7828531162,XOne,http://www.vgchartz.com/game/83087/doom-2016/?region=All
5210.0,Doom (2016),Shooter,M,Bethesda Softworks,id Software,,8.2,,0.24,0.15,0.01,0.04,2017.0,05th Jan 18,1.0,,/games/boxart/full_9745171AmericaFrontccc.jpg,7774255807,NS,http://www.vgchartz.com/game/203409/doom-2016/?region=All
5760.0,Doom (2016),Shooter,M,Bethesda Softworks,id Software,,,,0.11,0.24,,0.03,2016.0,14th Jan 18,1.0,,/games/boxart/full_9687122AmericaFrontccc.jpg,3686463973,PC,http://www.vgchartz.com/game/31786/doom-2016/?region=All
605.0,Mafia III,Action-Adventure,M,2K Games,Hangar 13,,6.9,,0.72,1.67,0.04,0.44,2016.0,02nd Apr 18,1.0,,/games/boxart/full_9483980AmericaFrontccc.jpg,8693889439,PS4,http://www.vgchartz.com/game/85862/mafia-iii/?region=All
2133.0,Mafia III,Action-Adventure,M,2K Games,Hangar 13,,6.8,,0.54,0.48,,0.09,2016.0,02nd Apr 18,1.0,,/games/boxart/full_1341518AmericaFrontccc.jpg,2540132260,XOne,http://www.vgchartz.com/game/85865/mafia-iii/?region=All
2812.0,Mafia III,Action-Adventure,M,2K Games,Hangar 13,,6.5,0.86,,,,,2016.0,02nd Apr 18,1.0,,/games/boxart/full_4976640AmericaFrontccc.jpg,2491333977,PC,http://www.vgchartz.com/game/85864/mafia-iii/?region=All
606.0,Subnautica,Adventure,E10,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,,2.87,,,,,2018.0,14th Feb 18,1.0,4.0,/games/boxart/full_8354552AmericaFrontccc.jpg,4826662875,PC,http://www.vgchartz.com/game/221100/subnautica/?region=All
11521.0,Subnautica,Adventure,,Gearbox Software,Unknown Worlds Entertainment,,,,0.07,0.03,,0.02,2018.0,16th Jul 18,1.0,,/games/boxart/full_9942993AmericaFrontccc.jpg,2976050766,PS4,http://www.vgchartz.com/game/222357/subnautica/?region=All
